Label,Type,TrainDelta,TestDelta,AP_Eng,HDG_Mode,ALT_Mode,HDG_Ref,TurnK,ALT_Ref,Pwheel,Throttle,alt,State
1,0,0,0,1,0,1,-49.6024294550218,32.416563737146,7260,11.8564524668943,0.997445453295036,7155.84416109516,Critical
1,0,0,0,1,0,1,-49.6024294550218,32.416563737146,7260,11.8564524668943,0.997445453295036,7155.61641387944,Critical
1,0,0,0,1,0,1,-49.6024294550218,32.416563737146,7260,11.8564524668943,0.997445453295036,7155.39008982052,Critical
1,0,0,0,1,0,1,-49.6024294550218,32.416563737146,7260,11.8564524668943,0.997445453295036,7155.16505108128,Critical
1,0,0,0,1,0,1,-49.6024294550218,32.416563737146,7260,11.8564524668943,0.997445453295036,7154.94132043152,Critical
1,0,0,0,1,0,1,-49.6024294550218,32.416563737146,7260,11.8564524668943,0.997445453295036,7154.71913318613,Critical
1,0,0,0,1,0,1,-49.6024294550218,32.416563737146,7260,11.8564524668943,0.997445453295036,7154.49879656952,Critical
1,0,0,0,1,0,1,-49.6024294550218,32.416563737146,7260,11.8564524668943,0.997445453295036,7154.2805415048,Critical
1,0,0,0,1,0,1,-49.6024294550218,32.416563737146,7260,11.8564524668943,0.997445453295036,7154.06444207591,Critical
1,0,0,0,1,0,1,-49.6024294550218,32.416563737146,7260,11.8564524668943,0.997445453295036,7153.85047150982,Critical
1,0,0,0,1,0,1,-49.6024294550218,32.416563737146,7260,11.8564524668943,0.997445453295036,7153.63860925014,Critical
1,0,0,0,1,0,1,-49.6024294550218,32.416563737146,7260,11.8564524668943,0.997445453295036,7153.42890594612,Critical
1,0,0,0,1,0,1,-49.6024294550218,32.416563737146,7260,11.8564524668943,0.997445453295036,7153.22147340915,Critical
1,0,0,0,1,0,1,-49.6024294550218,32.416563737146,7260,11.8564524668943,0.997445453295036,7153.01643837769,Critical
1,0,0,0,1,0,1,-49.6024294550218,32.416563737146,7260,11.8564524668943,0.997445453295036,7152.81389839525,Critical
1,0,0,0,1,0,1,-49.6024294550218,32.416563737146,7260,11.8564524668943,0.997445453295036,7152.6139133729,Critical
1,0,0,0,1,0,1,-49.6024294550218,32.416563737146,7260,11.8564524668943,0.997445453295036,7152.41652334589,Critical
1,0,0,0,1,0,1,-49.6024294550218,32.416563737146,7260,11.8564524668943,0.997445453295036,7152.22177447629,Critical
1,0,0,0,1,0,1,-49.6024294550218,32.416563737146,7260,11.8564524668943,0.997445453295036,7152.0297302919,Critical
1,0,0,0,1,0,1,-49.6024294550218,32.416563737146,7260,11.8564524668943,0.997445453295036,7151.84046580398,Critical
1,0,0,0,1,0,1,-49.6024294550218,32.416563737146,7260,11.8564524668943,0.997445453295036,7151.65405598099,Critical
1,0,0,0,1,0,1,-49.6024294550218,32.416563737146,7260,11.8564524668943,0.997445453295036,7151.4705661084,Critical
1,0,0,0,1,0,1,-49.6024294550218,32.416563737146,7260,11.8564524668943,0.997445453295036,7151.29005068149,Critical
1,0,0,0,1,0,1,-49.6024294550218,32.416563737146,7260,11.8564524668943,0.997445453295036,7151.11255922687,Critical
1,0,0,0,1,0,1,-49.6024294550218,32.416563737146,7260,11.8564524668943,0.997445453295036,7150.93814261736,Critical
1,0,0,0,1,0,1,-49.6024294550218,32.416563737146,7260,11.8564524668943,0.997445453295036,7150.76685495762,Critical
1,0,0,0,1,0,1,-49.6024294550218,32.416563737146,7260,11.8564524668943,0.997445453295036,7150.5987515862,Critical
1,0,0,0,1,0,1,-49.6024294550218,32.416563737146,7260,11.8564524668943,0.997445453295036,7150.43388585382,Critical
1,0,0,0,1,0,1,-49.6024294550218,32.416563737146,7260,11.8564524668943,0.997445453295036,7150.2723074448,Critical
1,0,0,0,1,0,1,-49.6024294550218,32.416563737146,7260,11.8564524668943,0.997445453295036,7150.11406299214,Critical
1,0,0,0,1,0,1,-49.6024294550218,32.416563737146,7260,11.8564524668943,0.997445453295036,7149.9591975599,Critical
1,0,0,0,1,0,1,-49.6024294550218,32.416563737146,7260,11.8564524668943,0.997445453295036,7149.80775590614,Critical
1,0,0,0,1,0,1,-49.6024294550218,32.416563737146,7260,11.8564524668943,0.997445453295036,7149.65978261754,Critical
