Label,Type,TrainDelta,TestDelta,AP_Eng,HDG_Mode,ALT_Mode,HDG_Ref,TurnK,ALT_Ref,Pwheel,Throttle,alt
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7224.4094488189
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7224.40916627973
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7224.40825068842
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7224.40670173058
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7224.40450748733
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7224.40164610483
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7224.39808600295
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7224.39378807433
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7224.38870638996
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7224.38278921924
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7224.37597998463
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7224.36821815169
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7224.35944005583
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7224.349579667
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7224.33856929413
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7224.32634023091
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7224.31282334516
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7224.29794961369
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7224.28165060498
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7224.26385891197
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7224.24450853737
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7224.22353523386
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7224.2008768017
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7224.17647334608
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7224.15026749692
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7224.1222045932
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7224.09223283449
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7224.06030340191
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7224.02637055082
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7223.99039167743
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7223.95232736153
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7223.91214138742
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7223.86980074497
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7223.82527561273
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7223.77853932494
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7223.72956832413
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7223.67834210093
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7223.62484312267
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7223.56905675217
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7223.51097115812
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7223.45057721827
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7223.38786841665
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7223.32284073595
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7223.25549254593
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7223.185824489
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7223.11383936364
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7223.03954200661
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7222.96293917448
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7222.88403942536
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7222.80285300113
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7222.71939171101
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7222.63366881667
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7222.54569891939
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7222.45549784977
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7222.36308256
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7222.2684710193
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7222.17168211248
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7222.07273554203
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7221.9716517337
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7221.86845174589
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7221.76315718278
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7221.65579011135
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7221.54637298235
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7221.43492855514
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7221.32147982653
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7221.20604996347
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7221.0886622397
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7220.9693399761
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7220.84810648493
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7220.72498501767
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7220.59999871648
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7220.47317056918
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7220.34452336761
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7220.2140796693
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7220.08186176231
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7219.94789163316
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7219.81219093768
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7219.67478097472
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7219.53568266255
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7219.39491651785
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7219.25250263716
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7219.10846068068
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7218.96280985829
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7218.81556891771
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7218.66675613458
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7218.51638930451
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7218.36448573681
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7218.21106224996
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7218.05613516861
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7217.899720322
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7217.74183304385
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7217.58248817336
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7217.42170005759
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7217.25948255475
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7217.09584903862
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7216.93081240391
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7216.76438507238
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7216.59657899991
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7216.42740568414
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7216.2568761729
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7216.08500107319
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7215.91179056067
1,0,0,0,0,0,1,31.7118469419031,9.18569240394442,7260,28.7917790755708,0.928822114959451,7215.73725438978
