Label,Type,TrainDelta,TestDelta,AP_Eng,HDG_Mode,ALT_Mode,HDG_Ref,TurnK,ALT_Ref,Pwheel,Throttle,alt,State,Throttle_Level
1,0,0,0,1,0,1,178.465499421985,12.1888488014582,7260,4.1651179847825,0.906341431618116,7284.06275392892,Critical,med
1,0,0,0,1,0,1,178.465499421985,12.1888488014582,7260,4.1651179847825,0.906341431618116,7284.16611558962,Critical,med
1,0,0,0,1,0,1,178.465499421985,12.1888488014582,7260,4.1651179847825,0.906341431618116,7284.3685490903,Critical,med
1,0,0,0,1,0,1,178.465499421985,12.1888488014582,7260,4.1651179847825,0.906341431618116,7284.5652577817,Critical,med
1,0,0,0,1,0,1,178.465499421985,12.1888488014582,7260,4.1651179847825,0.906341431618116,7284.7562397479,Critical,med
1,0,0,0,1,0,1,178.465499421985,12.1888488014582,7260,4.1651179847825,0.906341431618116,7284.94149823578,Critical,med
1,0,0,0,1,0,1,-18.865315421164,27.0776373577427,7260,5.195177346794,0.90646769678289,7156.52399026947,Critical,med
1,0,0,0,1,0,1,-18.865315421164,27.0776373577427,7260,5.195177346794,0.90646769678289,7148.56543199773,Critical,med
1,0,0,0,1,0,1,-18.865315421164,27.0776373577427,7260,5.195177346794,0.90646769678289,7150.69787037121,Critical,med
1,0,0,0,1,0,1,-18.865315421164,27.0776373577427,7260,5.195177346794,0.90646769678289,7164.54663119599,Critical,med
1,0,0,0,1,0,1,-18.865315421164,27.0776373577427,7260,5.195177346794,0.90646769678289,7189.30469918174,Critical,med
1,0,0,0,1,0,1,-18.865315421164,27.0776373577427,7260,5.195177346794,0.90646769678289,7214.81371634618,Critical,med
1,0,0,0,1,0,1,-18.865315421164,27.0776373577427,7260,5.195177346794,0.90646769678289,7215.23154137738,Caution,med
1,0,0,0,1,0,1,-18.865315421164,27.0776373577427,7260,5.195177346794,0.90646769678289,7219.95662922033,Caution,med
1,0,0,0,1,0,1,-18.865315421164,27.0776373577427,7260,5.195177346794,0.90646769678289,7224.48522531895,Caution,med
1,0,0,0,1,0,1,-18.865315421164,27.0776373577427,7260,5.195177346794,0.90646769678289,7228.43731262999,Caution,med
1,0,0,0,1,0,1,-18.865315421164,27.0776373577427,7260,5.195177346794,0.90646769678289,7231.8637519622,Caution,med
1,0,0,0,1,0,1,-18.865315421164,27.0776373577427,7260,5.195177346794,0.90646769678289,7234.81872088503,Caution,med
1,0,0,0,1,0,1,-56.8241830296727,23.7284191411297,7260,6.74553440892434,0.902695147911097,7215.24078348245,Caution,med
1,0,0,0,1,0,1,-56.8241830296727,23.7284191411297,7260,6.74553440892434,0.902695147911097,7220.04271642688,Caution,med
1,0,0,0,1,0,1,-56.8241830296727,23.7284191411297,7260,6.74553440892434,0.902695147911097,7224.36963602766,Caution,med
